n,entry_date,symbol,direction,regime,qqq_chg_pct,entry,exit,qty,cost_usd,stop_recorded,target,holding_h,realized_pnl,mfe_pct,mae_pct,confidence_at_entry,thesis_verdict,entry_timing,stop_appropriate,exit_appropriate,preventing_rule
1,2026-07-14,CLSK,call,TREND_UP,+1.12,0.33,0.49,1,33.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,0.67,+15.92,53.00,-2.00,NEVER ASSIGNED,CORRECT,GOOD,N/A no stop hit,GOOD (91% of MFE captured),min 6h intended hold
2,2026-07-14,CLSK,call,TREND_UP,+1.12,0.21,0.33,1,21.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,0.74,+11.92,69.00,-5.00,NEVER ASSIGNED,CORRECT,MARGINAL (deep adverse before working),N/A no stop hit,GOOD (83% of MFE captured),min 6h intended hold
3,2026-07-14,NVDA,call,TREND_UP,+1.12,1.14,1.18,1,114.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,0.87,+3.92,4.00,-5.00,NEVER ASSIGNED,CORRECT,MARGINAL (deep adverse before working),N/A no stop hit,GOOD (88% of MFE captured),min 6h intended hold
4,2026-07-14,QQQ,call,TREND_UP,+1.12,0.18,0.02,1,18.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,0.70,-16.08,0.00,-89.00,NEVER ASSIGNED,WRONG (never traded above entry),BAD (immediately adverse),"TOO WIDE (MFE=0, wider stop only enlarged loss)","FORCED (stop/close, no favourable window)",min 6h intended hold; entry-quality filter (depth/confirmation)
5,2026-07-15,DKNG,call,CHOP,-0.27,0.49,0.38,1,49.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,0.39,-11.08,0.00,-22.40,NEVER ASSIGNED,WRONG (never traded above entry),BAD (immediately adverse),"TOO WIDE (MFE=0, wider stop only enlarged loss)","FORCED (stop/close, no favourable window)",chop hard-block; min 6h intended hold; entry-quality filter (depth/confirmation)
6,2026-07-15,SOFI,put,CHOP,-0.27,0.41,0.96,1,41.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,42.94,+54.92,181.00,0.00,NEVER ASSIGNED,CORRECT,GOOD,N/A no stop hit,GOOD (74% of MFE captured),chop hard-block
7,2026-07-16,IONQ,put,TREND_DOWN,-1.64,1.16,1.74,1,116.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,22.49,+57.92,74.00,0.00,NEVER ASSIGNED,CORRECT,GOOD,N/A no stop hit,GOOD (68% of MFE captured),none identified - trade was sound by every proposed rule
8,2026-07-17,MARA,put,TREND_DOWN,-1.50,0.42,0.35,1,42.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,0.11,-7.08,0.00,-17.00,NEVER ASSIGNED,WRONG (never traded above entry),BAD (immediately adverse),"TOO WIDE (MFE=0, wider stop only enlarged loss)","FORCED (stop/close, no favourable window)",min 6h intended hold; entry-quality filter (depth/confirmation)
9,2026-07-20,MARA,call,CHOP,+0.10,0.53,0.72,1,53.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,3.86,+18.92,36.00,-2.00,NEVER ASSIGNED,CORRECT,GOOD,N/A no stop hit,GOOD (100% of MFE captured),chop hard-block
10,2026-07-21,MARA,call,TREND_UP,+1.85,0.37,0.55,1,37.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,2.66,+17.92,54.00,-3.00,NEVER ASSIGNED,CORRECT,GOOD,N/A no stop hit,GOOD (90% of MFE captured),none identified - trade was sound by every proposed rule
11,2026-07-21,TQQQ,call,TREND_UP,+1.85,0.66,0.85,1,66.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,2.73,+18.92,36.40,0.00,NEVER ASSIGNED,CORRECT,GOOD,N/A no stop hit,GOOD (79% of MFE captured),none identified - trade was sound by every proposed rule
12,2026-07-22,SMCI,call,TREND_DOWN,-0.51,0.80,0.67,1,80.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,0.32,-13.08,0.00,-16.00,NEVER ASSIGNED,WRONG (never traded above entry),BAD (immediately adverse),"TOO WIDE (MFE=0, wider stop only enlarged loss)","FORCED (stop/close, no favourable window)",regime-alignment block; min 6h intended hold; entry-quality filter (depth/confirmation)
13,2026-07-22,MARA,call,TREND_DOWN,-0.51,0.61,0.51,2,122.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,4.39,-20.12,3.00,-16.00,NEVER ASSIGNED,"PARTIAL (went favourable, gave it back)",MARGINAL (deep adverse before working),WORKED (cut a real reversal),"FORCED (stop/close, no favourable window)",regime-alignment block
14,2026-07-22,SOFI,put,TREND_DOWN,-0.51,0.64,0.64,2,128.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,19.73,-0.12,18.75,0.00,NEVER ASSIGNED,"PARTIAL (went favourable, gave it back)",GOOD,N/A no stop hit,"POOR (was up >10%, exited at a loss)",none identified - trade was sound by every proposed rule
15,2026-07-23,MARA,call,TREND_DOWN,-1.90,0.56,0.48,1,56.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,0.11,-8.08,0.00,-14.00,NEVER ASSIGNED,WRONG (never traded above entry),BAD (immediately adverse),N/A no stop hit,"FORCED (stop/close, no favourable window)",regime-alignment block; min 6h intended hold
16,2026-07-23,RIVN,put,TREND_DOWN,-1.90,0.75,0.88,1,75.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,20.84,+13.00,17.00,-14.70,NEVER ASSIGNED,CORRECT,MARGINAL (deep adverse before working),N/A no stop hit,GOOD (102% of MFE captured),none identified - trade was sound by every proposed rule
17,2026-07-24,IREN,put,TREND_DOWN,-1.12,1.40,1.11,1,140.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,0.77,-29.02,21.00,-21.00,NEVER ASSIGNED,"PARTIAL (went favourable, gave it back)",MARGINAL (deep adverse before working),WORKED (cut a real reversal),"POOR (was up >10%, exited at a loss)",min 6h intended hold
18,2026-07-27,RGTI,call,CHOP,-0.31,0.52,0.43,1,52.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,0.11,-9.02,0.00,-17.30,NEVER ASSIGNED,WRONG (never traded above entry),BAD (immediately adverse),"TOO WIDE (MFE=0, wider stop only enlarged loss)","FORCED (stop/close, no favourable window)",chop hard-block; min 6h intended hold; entry-quality filter (depth/confirmation)
19,2026-07-27,RIVN,call,CHOP,-0.31,0.35,0.28,1,35.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,24.61,-7.08,8.60,-20.00,NEVER ASSIGNED,"PARTIAL (went favourable, gave it back)",MARGINAL (deep adverse before working),WORKED (cut a real reversal),"FORCED (stop/close, no favourable window)",chop hard-block
20,2026-07-28,IREN,put,TREND_DOWN,-0.97,1.35,2.42,1,135.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,25.78,+106.90,89.30,-4.00,NEVER ASSIGNED,CORRECT,GOOD,N/A no stop hit,GOOD (89% of MFE captured),none identified - trade was sound by every proposed rule
21,2026-07-30,HIMS,call,TREND_UP,+3.30,0.85,1.68,1,85.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,23.62,+82.94,113.50,-8.00,NEVER ASSIGNED,CORRECT,MARGINAL (deep adverse before working),N/A no stop hit,GOOD (86% of MFE captured),none identified - trade was sound by every proposed rule
22,2026-08-03,SOFI,call,TREND_UP,+1.76,0.75,1.13,1,75.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,3.24,+38.00,53.30,-2.40,NEVER ASSIGNED,CORRECT,GOOD,N/A no stop hit,GOOD (95% of MFE captured),none identified - trade was sound by every proposed rule
23,2026-08-03,IREN,call,TREND_UP,+1.76,1.88,2.42,1,188.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,24.31,+54.00,36.20,0.00,NEVER ASSIGNED,CORRECT,GOOD,N/A no stop hit,GOOD (79% of MFE captured),none identified - trade was sound by every proposed rule
24,2026-08-04,RIVN,call,TREND_UP,+3.40,0.89,0.55,2,178.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,20.50,-68.00,0.00,-38.20,NEVER ASSIGNED,WRONG (never traded above entry),BAD (immediately adverse),"TOO WIDE (MFE=0, wider stop only enlarged loss)","FORCED (stop/close, no favourable window)",15% stop; entry-quality filter (depth/confirmation)
25,2026-08-04,APLD,call,TREND_UP,+3.40,1.83,1.41,1,183.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,24.13,-42.00,14.20,-24.60,NEVER ASSIGNED,"PARTIAL (went favourable, gave it back)",MARGINAL (deep adverse before working),WORKED (cut a real reversal),"POOR (was up >10%, exited at a loss)",15% stop
26,2026-08-06,IREN,call,CHOP,+0.07,2.41,1.58,1,241.00,NOT SYSTEMATICALLY LOGGED,NEVER SET,2.95,-83.00,0.00,-34.85,NEVER ASSIGNED,WRONG (never traded above entry),BAD (immediately adverse),"TOO WIDE (MFE=0, wider stop only enlarged loss)","FORCED (stop/close, no favourable window)",chop hard-block; 15% stop; entry-quality filter (depth/confirmation)
